CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,Address,GardenName,Plots,Organization,MAR_ID,CONTACT,PHONE,EMAIL,CONTACT2,WEB_URL
N/A,N/A,DC1,N/A,38.88519281,-76.98809696,1,DC,1301 C STREET SE,13th Street Community Park & Garden,N/A,N/A,290383,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC2,N/A,38.91339294,-76.97113277,2,DC,2412 RAND PLACE NE,Arboretum Youth Garden,7,DPR,296167,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC3,N/A,38.93669279,-77.01828802,3,DC,140 ROCK CREEK CHURCH RD NW,Armed Forces Retirement Home Community-Resident Garden,N/A,N/A,,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC4,N/A,38.8928598,-76.9240344,4,DC,260 54TH STREET NE,Beet St Garden - Richardson Dwellings,N/A,N/A,150458,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC5,N/A,38.87970319,-76.92839488,5,DC,FABLE STREET SE AND SOUTHERN AVENUE SE ,Benning Garden,16,DPR,308760,N/A,N/A,benningcommunitygarden@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC6,N/A,38.86413307,-76.98968363,6,DC,2220 MARTIN LUTHER KING JR AVENUE SE,Bethel Christian Fellowship (11th St Bridge Park Plot),N/A,N/A,50017,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC7,N/A,38.96058095,-77.00834484,7,DC,NICHOLSON STREET NW AND BLAIR ROAD NW,Blair Road Community Garden,N/A,NPS,18636,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC8,N/A,38.90266594,-77.02485911,8,DC,935 K STREET NW,Brainfood Youth Garden,N/A,Brainfood,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC9,N/A,38.91012189,-77.02165539,9,DC,1525 7TH STREET NW,Bread for the City Rooftop Garden,N/A,Bread for the City,297622,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC10,N/A,38.92820932,-77.02451409,10,DC,3000 GEORGIA AVE NW,Bruce Monroe,214,DPR,308626,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC11,N/A,38.94919459,-77.00055672,11,DC,4900 PUERTO RICO AVENUE NE,CAFB Urban Demonstration Garden,N/A,Capital Area Food Bank,288297,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC12,N/A,38.89509486,-76.92368699,12,DC,5314 DIX STREET NE,Dix St Garden (SoilFul Gardens),N/A,DPR,288592,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC13,N/A,38.85283586,-76.97781102,13,DC,1898 STANTON TERRACE SE,Douglass Garden,9,DPR,286513,N/A,N/A,friendsofdouglasscc@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC14,N/A,38.92470284,-77.00177512,14,DC,301 FRANKLIN STREET NE,Edgewood Gardens,10,DPR,289734,N/A,N/A,info@edgewooddc.org,N/A,http://edgewoodcommunitygardendc.blogspot.com/
N/A,N/A,DC15,N/A,38.95982689,-77.02625777,15,DC,9TH STREET NW AND MISSOURI AVENUE NW,Emery Garden,40,DPR,902554,N/A,387-3984,N/A,Alice Martin,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC16,N/A,38.9233315,-77.03281326,16,DC,14TH STREET NW AND EUCLID STREET NW,Euclid Street Garden,40,DPR,903476,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC17,N/A,38.83277648,-76.99676097,17,DC,3999 8TH STREET SE,Ferebee Hope Community Garden,11,DPR,294588,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC18,N/A,38.87654251,-76.94992719,18,DC,FORT DUPONT DRIVE SE AND FORT DAVIS DRIVE SE,Fort Dupont Park Gardens,N/A,NPS,910899,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC19,N/A,38.82664243,-77.01489353,19,DC,MARTIN LUTHER KING JR AVENUE SW AND ELMIRA STREET SW,Fort Greble Garden,15,DPR,904021,N/A,N/A,ftgcommunitygarden@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC20,N/A,38.95163128,-77.07968944,20,DC,BELT ROAD NW AND DAVENPORT STREET NW,Fort Reno Garden,N/A,NPS,903365,Martha Hamilton,362-1434,N/A,N/A,http://fieldtoforknetwork.org/community-gardens/fort-reno/
N/A,N/A,DC21,N/A,38.85758267,-76.97872838,21,DC,1812 ERIE STREET SE,Fort Stanton Community Garden,9,DPR,296165,Addie Cooke,202-889-6729,N/A,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC22,N/A,38.96367546,-77.03046683,22,DC,13TH STREET NW AND FORT STEVENS DRIVE NW,Fort Stevens Community Garden,N/A,NPS,903937,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC23,N/A,38.94439003,-77.08785661,23,DC,45TH STREET NW AND VAN NESS STREET NW,Friendship Garden,50,DPR,903069,Penni St. Hilaire,966-4087,tommyt@erols.com,Tommy Tomlinson,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC24,N/A,38.97052659,-77.03096726,24,DC,1327 VAN BUREN STREET NW,Ft. Stevens Garden,9,DPR,290152,Mrs. Corina Prince,829-8457,N/A,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC25,N/A,38.92524812,-77.08199862,25,DC,42ND STREET NW AND NEW MEXICO AVENUE NW,Glover Archbold Garden,N/A,NPS,906748,Dino Kraniotis,965-9388,N/A,N/A,http://dcgardens.com/community-gardens/
N/A,N/A,DC26,N/A,38.88343611,-76.97988634,26,DC,"ALLEY LOT BETWEEN 17TH, 18TH, D, AND E ST SE",Green SEED Community Garden,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
