DI_ID,CensusTract,County,FoodProducing,Longitude,Latitude,State,Address,Plots,NeighborhoodName,DateEstablished,ObjectID,SiteID,GardenName,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,SE_ANNO_CAD_DATA,SIZE_SQFT,WAIT_YRS,IN_ROW
WA1,N/A,N/A,N/A,-122.314151,47.58848054,WA,1701 15th Ave S,14,S Massachusetts St / 15th Ave S,2002,1,46,Beacon Bluff,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-bluff,,1500,0.5,Yes
WA2,N/A,N/A,N/A,-122.3292725,47.72406461,WA,13045 1st Ave NE,52,N 130th St / 1st Ave NE,1998,2,37,Haller Lake,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/haller-lake,,12500,2,No
WA3,N/A,N/A,N/A,-122.3250096,47.61981262,WA,200 Summit Ave E,31,E John St / Summit Ave E,2010,3,75,Unpaving Paradise,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/unpaving-paradise,,4600,2,No
WA4,N/A,N/A,N/A,-122.3522946,47.63883536,WA,217 Lynn St,73,3rd Ave N / Lynn St,1994,4,28,Queen Anne,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-anne,,15000,2,Yes
WA5,N/A,N/A,N/A,-122.3501793,47.69332508,WA,8815 Fremont Ave N,34,Fremont Ave N / N 89th St,2012,5,83,Greenwood Station,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood-station,,5500,1,No
WA6,N/A,N/A,N/A,-122.3193604,47.62125137,WA,1010 E Thomas St,28,E Thomas St / 10th Ave E,1997,6,34,Thomas Street Gardens,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thomas-street-gardens,,3200,2,No
WA7,N/A,N/A,N/A,-122.3450318,47.65514874,WA,3935 Woodland Park Ave N,28,N 40th St / Woodland Park Ave N,1995,7,32,Fremont,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/fremont,,4270,2,No
WA8,N/A,N/A,N/A,-122.3732239,47.5499198,WA,5900 32nd Ave SW,18,32nd Ave SW / SW Juneau St,1999,8,68,High Point Juneau Garden and Market Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-juneau,,5000,2,No
WA9,N/A,N/A,N/A,-122.3164535,47.56204878,WA,4549 13th Ave S,25,13th Ave S / S Snoqualmie St,1974,9,14,Snoqualmie,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/snoqualmie,,18000,2,No
WA10,N/A,N/A,N/A,-122.390831,47.65086679,WA,3500 28th Ave W,46,W Bertona St / 26th Ave W,2013,10,80,Magnolia Manor Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnolia-manor-park,,15600,1,No
